definition_key,defining_subtopic,slug,sha256,links
310-20 LendingActivities,310-20,lending-activities,f45a8b3f32f2438f08cb7ed1d1d88cc89768518e843f4392f73e3d832ab78a41,3
310-20 LoanOriginationFees,310-20,loan-origination-fees,824106e8d59c56c5b599a1c51d8afd13a87228c4273e39585b09737a77e0a10c,6
310-20 NetInvestmentinanOriginalLoan,310-20,net-investment-in-an-original-loan,331537b05b594ff9460854b81d5949c9b6fa0fd1b91321ea11767486b9b6f4ae,1
310-20 PrivateLabelCreditCards,310-20,private-label-credit-cards,d725a35084e5dfc39366f58ae4b61d65dda53a3beb34741f992521a60e2312b1,2
310-30 CashFlowsExpectedAtAcquisition,310-30,cash-flows-expected-at-acquisition,f7f2b23a380947d5ae5536dc6e6a57fb1fcae07067fb673d2f099eabde277655,1
310-30 Loan,310-30,loan,7e066234f7c4b17c93aa0deb38e903e11aa1be474abff3a606403139cb6fccdb,9
310-40 TimeofRestructuring,310-40,time-of-restructuring,7e357a5547e0bf4ee969147fbec81716c105ff64e97af5a6736303501c9dbd99,3
310-40 TroubledDebtRestructuring,310-40,troubled-debt-restructuring,33cbab63ef484a0ca884f53cb87ae003009a081fe3e5b94aaeaa8a342d8b7467,16
320-10 Available-for-SaleSecurities,320-10,available-for-sale-securities,902ea8ec286e9b61e02e5d38def6e91ea75a0142a88224714c9d624c3efd7ff8,19
320-10 DebtSecurity,320-10,debt-security,f39450bb11d26928a5b61088e82a3f91e45d94f2cb6adc1ca4c40f2b66fe6368,51
320-10 EquitySecurity,320-10,equity-security,aa5c0a794cc84cfc325539e75d423edce4571a1476673e8021204224c7a6cbb0,23
320-10 HoldingGainorLoss,320-10,holding-gain-or-loss,d24ff3c3b5ebeda7f9baadd0bb8f8af310a55e0d30a51f4ae313fcc0be1b8235,13
320-10 ReadilyDeterminableFairValue,320-10,readily-determinable-fair-value,716ab778488d490a4da847b0e27c0c5f9db92e2c0577cbef460d7aa26c8da669,21
320-10 RetrospectiveInterestMethod,320-10,retrospective-interest-method,470387bcd1422d9e4ec94511aca41cfc73dad4c24527b39ee7df032903769cb3,2
320-10 Security,320-10,security,528f43ef4d61de3442c80f104fc60c6bae57e0ab8bd72457836a55b83ac7114a,18
320-10 StructuredNote,320-10,structured-note,51aa1e76d74c05c216ce6979b5662092739a8ebb94f771e9e3c7fe71006798b9,4
320-10 Trading,320-10,trading,3a15f9bc55bbf8d8601bfe22e123478e32daa31a45683cdda131ebfba68da308,13
